HSISID,SCORE,TYPE,INSPECTOR,date,RESTAURANTOPENDATE
04092017542,94.5,Inspection,Anne-Kathrin Bartoli,2017-04-07,2017-03-01
04092017542,92,Inspection,Laura McNeill,2017-11-08,2017-03-01
04092017542,95,Inspection,Laura McNeill,2018-03-23,2017-03-01
04092017542,93.5,Inspection,Laura McNeill,2018-09-07,2017-03-01
04092017542,93,Inspection,Joanne Rutkofske,2019-04-04,2017-03-01
04092017542,93.5,Inspection,Naterra McQueen,2019-10-07,2017-03-01
04092017542,92.5,Inspection,Naterra McQueen,2020-05-19,2017-03-01
04092017542,94,Inspection,Nicole Bailey,2020-10-09,2017-03-01
04092015321,96,Inspection,Jennifer Edwards,2013-07-31,2009-01-12
04092015321,96,Inspection,Jennifer Edwards,2014-01-17,2009-01-12
04092015321,96.5,Inspection,Jennifer Edwards,2014-07-31,2009-01-12
04092015321,94,Inspection,Jennifer Edwards,2015-02-06,2009-01-12
04092015321,96,Inspection,Laura McNeill,2015-08-31,2009-01-12
04092015321,98.5,Inspection,Laura McNeill,2016-03-03,2009-01-12
04092015321,96.5,Inspection,Anne-Kathrin Bartoli,2016-08-14,2009-01-12
04092015321,97.5,Inspection,Maria Powell,2017-05-18,2009-01-12
04092015321,98,Inspection,Maria Powell,2017-11-27,2009-01-12
04092015321,97,Inspection,Maria Powell,2018-04-16,2009-01-12
04092015321,97.5,Inspection,Maria Powell,2018-08-21,2009-01-12
04092015321,95.5,Inspection,Sarah Thompson,2019-04-24,2009-01-12
04092015321,96.5,Inspection,Joanne Rutkofske,2019-11-05,2009-01-12
04092015321,97.5,Inspection,Joanne Rutkofske,2020-04-09,2009-01-12
04092015321,97.5,Inspection,Joanne Rutkofske,2020-08-04,2009-01-12
04092017541,95,Inspection,David Adcock,2017-03-28,2017-03-03
04092017541,98,Inspection,Angela Jacobs,2017-11-03,2017-03-03
04092017541,94,Inspection,Angela Jacobs,2018-04-13,2017-03-03
04092017541,96,Inspection,Ginger Johnson,2018-11-02,2017-03-03
04092017541,95.5,Inspection,Ginger Johnson,2019-04-02,2017-03-03
04092017541,98.5,Inspection,Ginger Johnson,2019-10-03,2017-03-03
04092017541,100,Inspection,Ginger Johnson,2020-01-07,2017-03-03
04092017541,100,Inspection,Ginger Johnson,2020-04-23,2017-03-03
04092018228,95.5,Inspection,Daryl Beasley,2019-12-13,2019-11-13
04092018228,93,Inspection,Daryl Beasley,2020-06-26,2019-11-13
04092017322,97.5,Inspection,Pamela Scott,2016-10-12,2016-09-16
04092017322,97.5,Inspection,Pamela Scott,2017-05-24,2016-09-16
04092017322,96.5,Inspection,Pamela Scott,2017-12-14,2016-09-16
04092017322,98,Inspection,Michael Robinson,2018-06-27,2016-09-16
04092017322,96,Inspection,Melodee Johnson,2018-10-04,2016-09-16
04092017322,98.5,Inspection,Melodee Johnson,2019-01-14,2016-09-16
04092017322,97.5,Inspection,Lauren Harden,2019-09-05,2016-09-16
04092017322,95.5,Inspection,Lauren Harden,2020-02-27,2016-09-16
04092017322,98.5,Inspection,Lauren Harden,2020-07-10,2016-09-16
04092016286,94.5,Inspection,Lisa McCoy,2013-02-08,2012-11-01
04092016286,97.5,Inspection,Lisa McCoy,2012-11-14,2012-11-01
04092016286,94.5,Inspection,David Adcock,2013-11-07,2012-11-01
04092016286,90.5,Inspection,David Adcock,2014-04-03,2012-11-01
04092016286,94.5,Inspection,David Adcock,2015-02-11,2012-11-01
04092016286,96,Inspection,Laura McNeill,2015-10-08,2012-11-01
04092016286,93,Inspection,Caroline Suggs,2016-09-08,2012-11-01
